구·군별,2020. 07,2020. 07,2020. 07,2020. 07,2020. 07,2020. 07,2020. 07,2020. 07
구·군별,동수 (동),세대수 (세대),인구수  (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
부산광역시,205,"1,517,200","3,450,783","1,693,918","1,756,865",100.00,770.07,"4,481"
중구,9,"23,544","43,721","21,688","22,033",1.30,2.83,"15,449"
서구,13,"53,340","109,870","53,519","56,351",3.20,13.98,"7,859"
동구,12,"45,954","91,979","45,092","46,887",2.70,9.87,"9,319"
영도구,11,"54,914","116,752","57,748","59,004",3.40,14.20,"8,222"
부산진구,20,"169,952","360,582","174,125","186,457",10.40,29.67,"12,153"
동래구,13,"114,414","273,793","133,256","140,537",7.90,16.63,"16,464"
남구,17,"117,537","275,565","134,988","140,577",8.00,26.82,"10,275"
북구,13,"120,706","290,157","143,561","146,596",8.40,39.37,"7,370"
해운대구,18,"170,255","408,611","196,894","211,717",11.80,51.47,"7,939"
사하구,16,"139,163","321,352","160,716","160,636",9.30,41.77,"7,693"
금정구,16,"107,273","238,974","116,481","122,493",6.90,65.27,"3,661"
강서구,8,"55,314","137,122","72,447","64,675",4.00,181.49,756
연제구,12,"91,608","210,336","101,353","108,983",6.10,12.10,"17,383"
수영구,10,"83,207","178,463","84,334","94,129",5.20,10.21,"17,479"
사상구,12,"97,215","220,011","111,480","108,531",6.40,36.09,"6,096"
기장군,5,"72,804","173,495","86,236","87,259",5.00,218.30,795
